movie,year,timeMin,imdb,metascore,votes,us_grossMillions
The Apartment,1960,125,8.3,94,159468,18.6
On the Waterfront,1954,108,8.1,91,138856,9.6
End of Watch,2012,109,7.6,68,224757,41
Monty Python's Life of Brian,1979,94,8.1,77,359901,20.05
Spartacus,1960,197,7.9,87,122177,30
Singin' in the Rain,1952,103,8.3,99,213610,8.82
Metropolis,1927,153,8.3,98,156406,1.24
Before Midnight,2013,109,7.9,94,136978,8.11
This Is Spinal Tap,1984,82,7.9,92,126836,0.19
The Great Escape,1963,172,8.2,86,220072,12.1
To Kill a Mockingbird,1962,129,8.2,88,289197,
Akira,1988,124,8,0,159953,0.55
Shoplifters,2018,121,8,93,57094,3.31
Midnight Cowboy,1969,113,7.8,79,98895,44.79
Naked,1993,132,7.8,84,33412,1.77
Gangs of Wasseypur,2012,321,8.2,89,78845,
The Color Purple,1985,154,7.8,78,76653,98.47
The Raid: Redemption,2011,101,7.6,73,187448,4.11
The Lego Movie,2014,100,7.7,83,319711,257.76
Match Point,2005,124,7.6,72,203208,23.09
The Illusionist,2006,110,7.6,68,350983,39.87
Kung Fu Hustle,2004,99,7.7,78,124971,17.11
The Sting,1973,129,8.3,83,236703,159.6
The Skin I Live In,2011,120,7.6,70,135357,3.19
The Seventh Seal,1957,96,8.2,88,159792,
A Fistful of Dollars,1964,99,8,65,192773,14.5
Robin Hood,1973,83,7.6,57,112956,32.06
Kiki's Delivery Service,1989,103,7.8,83,118461,
The Magnificent Seven,1960,128,7.7,74,86124,4.91
The Wrestler,2008,109,7.9,80,286486,26.24
For a Few Dollars More,1965,132,8.3,74,226610,15
Sunset Blvd.,1950,110,8.4,0,196277,
In the Heat of the Night,1967,110,7.9,75,66141,24.38
National Lampoon's Christmas Vacation,1989,97,7.6,49,148478,71.32
After Hours,1985,97,7.7,90,57018,10.6
Ponyo,2008,101,7.7,86,120554,15.09
Malcolm X,1992,202,7.7,73,83633,48.17
Eastern Promises,2007,100,7.6,82,224153,17.11
The Bridge on the River Kwai,1957,161,8.1,87,199086,44.91
How to Train Your Dragon 2,2014,102,7.8,76,298894,177
Dawn of the Planet of the Apes,2014,130,7.6,79,407063,208.55
Ben-Hur,1959,212,8.1,90,215203,74.7
The Insider,1999,157,7.8,84,157255,28.97
Let the Right One In,2008,114,7.9,82,202868,2.12
Battle Royale,2000,114,7.6,81,166651,
Ghost in the Shell,1995,83,8,76,125824,0.52
Charade,1963,113,7.9,83,66559,13.47
Klaus,2019,96,8.2,65,75505,
Evil Dead II,1987,84,7.8,72,144909,5.92
Rope,1948,80,8,73,126275,
Mysterious Skin,2004,105,7.6,73,65090,0.7
Star Trek II: The Wrath of Khan,1982,113,7.7,67,110936,78.91
Snow White and the Seven Dwarfs,1937,83,7.6,95,177487,184.93
Beasts of No Nation,2015,137,7.7,79,71826,0.08
Hotel Rwanda,2004,121,8.1,79,329689,23.53
Perfect Blue,1997,81,8,0,54478,0.78
Enemy at the Gates,2001,131,7.6,53,238625,51.4
Die Hard with a Vengeance,1995,128,7.6,58,357623,100.01
Dirty Harry,1971,102,7.7,90,140859,35.9
The Conversation,1974,113,7.8,85,95816,4.42
Nausica盲 of the Valley of the Wind,1984,117,8.1,86,145440,0.5
Midnight Express,1978,121,7.6,59,72208,35
7 Kogustaki Mucize,2019,132,8.3,0,29191,
Cabaret,1972,124,7.8,80,47352,42.77
The Fall,2006,117,7.9,64,105957,2.28
Hachi: A Dog's Tale,2009,93,8.1,0,246404,
Days of Heaven,1978,94,7.8,93,51232,
Badlands,1973,94,7.8,93,64122,
Billy Elliot,2000,110,7.7,74,124246,22
Enter the Dragon,1973,102,7.7,83,94626,25
Head-On,2004,121,7.9,78,50339,
Clerks,1994,92,7.7,70,209386,3.15
Andhadhun,2018,139,8.3,0,66222,1.37
The Artist,2011,100,7.9,89,227588,44.67
The Ten Commandments,1956,220,7.8,0,62447,93.74
The Man from Earth,2007,87,7.9,0,170995,
Flipped,2010,90,7.7,45,79960,1.75
A Separation,2011,123,8.3,95,214551,7.1
Harakiri,1962,133,8.7,85,37661,
Night of the Living Dead,1968,96,7.9,89,113470,0.09
Giant,1956,201,7.6,84,33333,
Dial M for Murder,1954,105,8.2,75,153738,0.01
Touch of Evil,1958,95,8,99,97016,2.24
Fiddler on the Roof,1971,181,8,67,38466,80.5
A Streetcar Named Desire,1951,122,8,97,97396,8
Lord of War,2005,122,7.6,62,290230,24.15
I Am Sam,2001,132,7.7,28,141284,40.31
Dangerous Liaisons,1988,119,7.6,74,63454,34.7
Kramer vs. Kramer,1979,105,7.8,77,130005,106.26
Cool Hand Luke,1967,127,8.1,92,158672,16.22
The Name of the Rose,1986,130,7.7,54,99515,7.15
October Sky,1999,108,7.8,71,80711,32.48
Doctor Zhivago,1965,197,8,69,68373,111.72
Rebel Without a Cause,1955,111,7.7,89,81770,
The Last Picture Show,1971,118,8,93,41354,29.13
Rififi,1955,118,8.2,97,26733,0.06
Paddington 2,2017,103,7.8,88,58243,40.44
50/50,2011,100,7.6,72,312256,35.01
The French Connection,1971,104,7.7,94,107594,15.63
Paths of Glory,1957,88,8.4,90,173115,
Roman Holiday,1953,118,8,78,124881,
Seven Pounds,2008,123,7.6,36,282616,69.95
Dawn of the Dead,1978,127,7.9,71,109369,5.1
Taare Zameen Par,2007,165,8.4,0,162396,1.22
The Searchers,1956,119,7.9,94,78618,
Amores Perros,2000,154,8.1,83,219612,5.38
Sling Blade,1996,135,8,84,85787,24.48
In the Name of the Father,1993,133,8.1,84,153148,25.01
Blood Simple,1984,99,7.6,81,85678,2.15
Rushmore,1998,93,7.7,86,166109,17.11
Castle in the Sky,1986,125,8,78,145664,
The Tenant,1976,126,7.7,0,38588,1.92
Miller's Crossing,1990,115,7.7,66,123909,5.08
The King of Comedy,1982,109,7.8,73,84646,2.5
The Killing Fields,1984,141,7.8,76,50644,34.7
Nosferatu,1922,94,7.9,0,86773,
Ran,1985,162,8.2,96,109174,4.14
Bonnie and Clyde,1967,111,7.8,86,100416,
"Planes, Trains and Automobiles",1987,93,7.6,72,119545,49.53
Solaris,1972,167,8.1,90,78412,
My Fair Lady,1964,170,7.8,95,84943,72
Network,1976,121,8.1,83,142153,
Gandhi,1982,191,8,79,215399,52.77
Detachment,2011,98,7.7,52,75032,0.07
The Great Beauty,2013,141,7.8,86,79014,2.85
La Dolce Vita,1960,174,8,95,64797,19.52
Paprika,2006,90,7.7,81,68807,0.88
The Iron Giant,1999,86,8,85,168619,23.16
Ed Wood,1994,127,7.8,70,163077,5.89
Finding Neverland,2004,106,7.7,67,196504,51.68
Ray,2004,152,7.7,73,136264,75.33
Notorious,1946,102,7.9,100,90587,10.46
Black Book,2006,145,7.7,71,71645,4.4
The Wind Rises,2013,126,7.8,83,70436,5.21
25th Hour,2002,135,7.6,68,168008,13.06
Witness for the Prosecution,1957,116,8.4,0,104939,8.18
Dancer in the Dark,2000,140,8,61,100220,4.18
Glengarry Glen Ross,1992,100,7.7,82,94032,10.73
The Bridges of Madison County,1995,135,7.6,66,71329,71.52
Persona,1966,83,8.1,86,99222,
The Best Offer,2013,131,7.8,49,105415,0.09
Mommy,2014,139,8.1,74,48892,3.49
Ordinary People,1980,124,7.7,86,45815,54.8
The Third Man,1949,93,8.1,97,155567,0.45
High Noon,1952,85,7.9,89,95699,9.45
M,1931,99,8.3,0,139622,0.03
The Body,2012,112,7.6,0,54792,
Freaks,1932,64,7.9,80,41241,
8陆,1963,138,8,0,106639,0.05
The Raid 2,2014,150,8,71,112250,2.63
Lucky Number Slevin,2006,110,7.7,53,297004,22.49
Mother,2009,129,7.8,79,49218,0.55
This Is England,2006,101,7.7,86,114325,0.33
Three Colors: Red,1994,99,8.1,100,88003,4.04
The Outlaw Josey Wales,1976,135,7.8,69,64230,31.8
The Straight Story,1999,112,8,86,80138,6.2
Double Indemnity,1944,107,8.3,95,139880,5.72
21 Grams,2003,124,7.7,70,221547,16.29
Batman: Mask of the Phantasm,1993,76,7.8,0,42594,5.62
Being There,1979,130,8,83,64352,30.18
The World's Fastest Indian,2005,127,7.8,68,51303,5.13
Sabrina,1954,113,7.7,72,57854,
Short Term 12,2013,96,8,82,79897,1.01
Chungking Express,1994,102,8.1,77,60238,0.6
Sing Street,2016,106,7.9,79,83017,3.24
Pride,2014,119,7.8,79,50729,
Breathless,1960,90,7.9,0,71250,0.34
Kubo and the Two Strings,2016,101,7.8,84,115311,48.02
The Man from Nowhere,2010,119,7.8,0,61109,0.01
Strangers on a Train,1951,101,7.9,88,121240,7.63
Funny Games,1997,108,7.6,69,62977,
Drishyam,2015,163,8.2,0,66343,0.74
The Diving Bell and the Butterfly,2007,112,8,92,102155,5.99
Hamlet,1996,242,7.7,0,35586,4.41
A Hard Day's Night,1964,87,7.6,96,39444,13.78
Blow-Up,1966,111,7.6,82,55197,
The Great Dictator,1940,125,8.4,0,197841,0.29
Barton Fink,1991,116,7.7,69,111091,6.15
Happiness,1998,134,7.7,81,65505,2.81
Baahubali: The Beginning,2015,159,8.1,0,100399,6.74
The 400 Blows,1959,99,8.1,0,102177,
Loving Vincent,2017,94,7.8,62,48614,6.74
The Right Stuff,1983,193,7.8,91,55036,21.5
The Longest Day,1962,178,7.8,75,51480,39.1
Wings of Desire,1987,128,8,79,63109,3.33
Pink Floyd: The Wall,1982,95,8.1,47,74867,22.24
The Muppet Movie,1979,95,7.6,74,31989,76.66
All About Eve,1950,138,8.2,98,117883,0.01
PK,2014,153,8.1,0,157521,10.62
Who's Afraid of Virginia Woolf?,1966,131,8,75,67939,
Modern Times,1936,87,8.5,96,211762,0.16
The Wild Bunch,1969,135,7.9,97,76206,12.06
Rio Bravo,1959,141,8,93,54893,12.54
The Last King of Scotland,2006,123,7.7,74,173020,17.61
From Here to Eternity,1953,118,7.6,85,42467,30.5
Cinderella Man,2005,144,8,69,173688,61.65
The Man Who Shot Liberty Valance,1962,123,8.1,94,67356,
Duck You Sucker,1971,138,7.6,77,29402,0.7
Rashomon,1950,88,8.2,98,148557,0.1
The Remains of the Day,1993,134,7.8,84,64155,22.95
Hannah and Her Sisters,1986,107,7.9,90,65903,40.08
Whisper of the Heart,1995,111,7.9,75,49173,
Three Colors: Blue,1993,94,7.9,85,86698,1.32
My Left Foot,1989,103,7.9,97,66391,14.74
Manhattan,1979,96,7.9,83,129356,45.7
Kelly's Heroes,1970,144,7.6,50,44412,1.38
Guess Who's Coming to Dinner,1967,108,7.8,63,38427,56.7
Me and Earl and the Dying Girl,2015,105,7.7,74,120832,6.74
The Secret World of Arrietty,2010,94,7.6,80,77860,19.2
Bicycle Thieves,1948,89,8.3,0,141907,0.33
Harold and Maude,1971,91,7.9,62,69573,
On Golden Pond,1981,109,7.6,68,27048,119.29
Breaking the Waves,1996,159,7.8,76,61251,4.04
The Treasure of the Sierra Madre,1948,126,8.2,98,111744,5.01
Victoria,2015,138,7.6,77,51048,
Land of Mine,2015,100,7.8,75,34034,0.44
Letters from Iwo Jima,2006,141,7.9,89,152281,13.76
Frankenstein,1931,70,7.8,91,63442,0
Frost/Nixon,2008,122,7.7,80,101564,18.59
Open Your Eyes,1997,119,7.8,0,63026,0.37
Fitzcarraldo,1982,158,8.1,0,30646,
Zulu,1964,138,7.7,77,35242,0
The Maltese Falcon,1941,100,8,96,146966,2.11
Mary and Max,2009,92,8.1,0,161380,0
Run Lola Run,1998,80,7.6,77,186111,7.27
La Vie En Rose,2007,140,7.6,66,81486,10.3
Porco Rosso,1992,94,7.7,83,74435,0
The Manchurian Candidate,1962,126,7.9,94,70275,0
A Christmas Story,1983,94,7.9,77,127749,20.61
Patton,1970,172,7.9,91,92497,61.7
"South Park: Bigger, Longer & Uncut",1999,81,7.7,73,190043,52.01
A Little Princess,1995,97,7.7,83,31570,10.02
City Lights,1931,87,8.5,99,163107,0.02
Chhichhore,2019,143,8.2,0,29848,0.9
Nebraska,2013,115,7.7,87,110795,17.65
The Double Life of Véronique,1991,98,7.8,86,40741,2
The Day the Earth Stood Still,1951,92,7.7,0,75470,0
The Night of the Hunter,1955,92,8,99,80346,0.65
The Long Goodbye,1973,112,7.6,87,25344,0.96
Raise the Red Lantern,1991,125,8.1,0,28837,2.6
"Spring, Summer, Fall, Winter... and Spring",2003,103,8,85,75745,2.38
Dead Man's Shoes,2004,90,7.6,52,48611,0.01
It Happened One Night,1934,105,8.1,87,91589,4.36
Paper Moon,1973,102,8.1,77,41370,30.93
Yojimbo,1961,110,8.2,0,107899,0
Belle de Jour,1967,100,7.7,0,39245,0.03
Talk to Her,2002,112,7.9,86,102967,9.28
The Chaser,2008,125,7.8,64,56431,0
A Man Called Ove,2015,116,7.7,70,45201,3.36
The Cabinet of Dr. Caligari,1920,67,8.1,0,55745,0
What Ever Happened to Baby Jane?,1962,134,8.1,75,48874,4.05
Baahubali 2: The Conclusion,2017,167,8.2,0,72779,20.19
Neon Genesis Evangelion: The End of Evangelion,1997,87,8.1,0,36655,0
The Lady Vanishes,1938,96,7.8,0,46292,0
Wild Strawberries,1957,91,8.2,88,93124,0
The Secret of NIMH,1982,82,7.6,76,35551,10.14
The Big Sleep,1946,114,7.9,0,77621,6.54
Fanny and Alexander,1982,188,8.1,100,56345,4.97
Where Eagles Dare,1968,158,7.7,63,50803,0
Amour,2012,127,7.9,94,91336,6.74
Dead Man,1995,121,7.6,62,88794,1.04
The Hustler,1961,134,8,90,74080,8.28
The Killing,1956,84,8,91,79805,0
King Kong,1933,100,7.9,90,77598,10
The Sea Inside,2004,126,8,74,76452,2.09
The Day of the Jackal,1973,143,7.8,80,36610,16.06
The Wave,2008,107,7.6,0,100827,0
Anatomy of a Murder,1959,161,8,95,58515,11.9
The Mirror,1975,107,8.1,0,38241,0.18
Contempt,1963,102,7.6,0,28065,0.04
Winter Sleep,2014,196,8.1,88,44035,0.17
Lilya 4-Ever,2002,109,7.8,82,41937,0.18
Song of the Sea,2014,93,8.1,85,49348,0.86
Judgment at Nuremberg,1961,179,8.2,60,67531,0
Fearless,2006,104,7.6,70,72127,24.63
The Verdict,1982,129,7.7,77,35177,54
The Tale of The Princess Kaguya,2013,137,8,89,36575,1.51
When Marnie Was There,2014,103,7.7,72,30774,0.77
Children of Heaven,1997,89,8.3,77,62574,0.93
The 39 Steps,1935,86,7.6,93,50645,0
"Aguirre, the Wrath of God",1972,95,7.9,0,51101,0
All About My Mother,1999,101,7.8,87,87310,8.26
Fantasia,1940,125,7.8,96,86933,76.41
Thank You for Smoking,2005,92,7.6,71,211257,24.79
Watership Down,1978,91,7.6,64,33078,0
The Best Years of Our Lives,1946,170,8,93,56355,23.65
The Philadelphia Story,1940,112,7.9,96,62234,0
The Man Who Would Be King,1975,129,7.8,91,43212,0
The Grapes of Wrath,1940,129,8,96,84696,0.06
Sympathy for Mr. Vengeance,2002,129,7.6,56,61203,0.05
The Adventures of Robin Hood,1938,102,7.9,97,46451,3.98
Ikiru,1952,143,8.3,0,65616,0.06
The Little Prince,2015,108,7.7,70,55219,1.34
5 Centimeters Per Second,2007,63,7.6,0,49421,0
The Salesman,2016,124,7.8,85,48841,2.4
Cat on a Hot Tin Roof,1958,108,8,84,44072,17.57
Delicatessen,1991,99,7.6,66,79248,1.79
K.G.F: Chapter 1,2018,156,8.2,0,32037,0
Volver,2006,121,7.6,84,93235,12.9
The White Ribbon,2009,144,7.8,82,67483,2.22
Hedwig and the Angry Inch,2001,95,7.7,85,31531,3.03
Gully Boy,2019,153,8.1,65,29933,5.57
Out of the Past,1947,97,8,0,31903,0
The Quiet Man,1952,129,7.7,0,33901,10.55
Leviathan,2014,140,7.6,92,48136,1.09
The Hurricane,1999,146,7.6,74,90230,50.67
Cape Fear,1962,106,7.7,76,25775,0
3-Iron,2004,88,8,72,48956,0.24
Waking Life,2001,99,7.8,82,59975,2.89
Shadow of a Doubt,1943,108,7.8,94,58122,0
The Legend of 1900,1998,169,8.1,58,57482,0.26
Red River,1948,133,7.8,0,27503,0
Infernal Affairs,2002,101,8,75,116510,0.17
The Lion in Winter,1968,134,7.9,0,28485,22.28
Once,2007,86,7.8,88,109207,9.44
Perfetti sconosciuti,2016,96,7.8,0,54644,0
Elite Squad,2007,115,8.1,33,96605,0.01
Queen,2013,146,8.2,0,59628,1.43
Repulsion,1965,105,7.7,91,47784,0
Short Cuts,1993,188,7.7,79,41639,6.11
Andrei Rublev,1966,205,8.1,0,44960,0.1
Ninja Scroll,1993,94,7.9,0,33897,0
High and Low,1963,143,8.4,0,31490,0
The Station Agent,2003,89,7.6,81,66642,5.74
Le Samouraï,1967,101,8.1,0,44071,0.04
The Message,1976,177,8.2,0,43002,0
The African Queen,1951,105,7.7,91,70333,0.54
Throne of Blood,1957,110,8.1,0,45104,0
Zindagi Na Milegi Dobara,2011,155,8.1,0,65906,3.11
Withnail & I,1987,107,7.7,84,39491,1.54
Eyes Without a Face,1960,90,7.7,90,26338,0.05
His Girl Friday,1940,92,7.9,0,52398,0.3
The Lunchbox,2013,104,7.8,76,49076,4.23
Lifeboat,1944,97,7.6,78,25921,0
The Celebration,1998,105,8,82,76498,1.65
The Motorcycle Diaries,2004,126,7.8,75,95498,16.76
Tokyo Story,1953,136,8.2,0,50687,0
Underground,1995,167,8.1,0,54293,0.17
The Battle of Algiers,1966,121,8.1,96,51336,0.06
Good Bye Lenin!,2003,121,7.7,68,135862,4.06
Swades,2004,189,8.2,0,81503,1.22
The Red Shoes,1948,135,8.1,0,29990,10.9
A Prophet,2009,155,7.9,90,92183,2.08
Sholay,1975,162,8.2,0,50346,0
The Innocents,1961,100,7.8,88,25955,2.62
Diabolique,1955,117,8,0,60414,0
Lagaan: Once Upon a Time in India,2001,224,8.1,84,102777,0.07
Secrets & Lies,1996,136,8,91,36567,13.42
Loveless,2017,127,7.6,86,28549,0.57
The Hidden Fortress,1958,126,8.1,0,33428,0
The Bandit,1996,128,8.2,0,62083,0
Control,2007,122,7.7,78,60733,0.87
Laura,1944,88,8,0,41768,4.36
Three Colors: White,1994,92,7.6,88,62085,1.46
Once Were Warriors,1994,102,7.9,77,30993,2.2
A Very Long Engagement,2004,133,7.6,76,70255,6.17
The Kid,1921,68,8.3,0,109405,5.45
Mr. Smith Goes to Washington,1939,129,8.1,73,104724,9.6
Bride of Frankenstein,1935,75,7.8,95,42284,4.36
Peeping Tom,1960,101,7.7,0,30095,0.08
A Man for All Seasons,1966,120,7.7,72,30565,28.35
All Quiet on the Western Front,1930,152,8,91,56433,3.27
Amarcord,1973,123,7.9,0,38943,0
Death Note,2006,126,7.7,0,28232,0
Bajrangi Bhaijaan,2015,163,8,0,70192,8.18
The Conformist,1970,113,8,100,26129,0.54
Invasion of the Body Snatchers,1956,80,7.7,92,43961,0
Uri: The Surgical Strike,2019,138,8.3,0,41491,4.19
La Strada,1954,108,8,0,57066,0
Gilda,1946,110,7.7,0,27249,0
Bringing Up Baby,1938,102,7.9,91,54012,0
Talvar,2015,132,8.2,0,30067,0.34
Pierrot le Fou,1965,110,7.6,0,28625,0
The Passion of Joan of Arc,1928,114,8.1,0,45959,0.02
Ayla: The Daughter of War,2017,125,8.4,0,32377,0
Arsenic and Old Lace,1944,118,8,0,64260,0
The Invisible Man,1933,71,7.7,87,29360,0
The Vanishing,1988,107,7.7,0,33082,0
Night on Earth,1991,129,7.8,68,54117,2.02
Shine,1996,105,7.7,87,50594,35.81
Kal ho naa ho,2003,186,8,54,62128,1.79
Pink,2016,136,8.1,0,37809,1.24
Ivan's Childhood,1962,84,8.1,0,30335,0
Rang De Basanti,2006,167,8.2,0,109242,2.2
Inherit the Wind,1960,128,8.1,75,26726,0
My Name Is Khan,2010,165,8,50,96832,4.02
Philomena,2013,98,7.6,77,92899,37.71
The Broken Circle Breakdown,2012,111,7.8,70,38690,0.18
Wait Until Dark,1967,108,7.8,81,27182,17.55
Cowboy Bebop: The Movie,2001,115,7.9,61,42054,1
Kagemusha,1980,162,8,84,31353,0
Sunrise,1927,94,8.1,0,46159,0.54
Crimes and Misdemeanors,1989,104,7.9,77,53638,18.25
To Be or Not to Be,1942,99,8.2,86,27720,0
"I, Daniel Blake",2016,100,7.9,78,51773,0.26
Stalag 17,1953,120,8,84,50363,0
The Taking of Pelham One Two Three,1974,104,7.7,68,25836,0
The Return,2003,110,8,82,41407,0.5
My Father and My Son,2005,112,8.3,0,76256,0
Vivre Sa Vie,1962,85,8,0,26895,0
Wolf Children,2012,117,8.1,71,37304,0
The Wages of Fear,1953,131,8.1,85,53076,0
The Gold Rush,1925,95,8.2,0,97767,5.45
Persepolis,2007,96,8,90,87139,4.45
Hard Boiled,1992,128,7.8,0,45998,0
Once Upon a Time in Anatolia,2011,157,7.9,82,40044,0.14
Sleuth,1972,138,8,0,44154,4.08
"Black Cat, White Cat",1998,127,8.1,73,49912,0.35
After the Wedding,2006,120,7.7,78,31387,0.41
Brief Encounter,1945,86,8,92,34604,0
Duck Soup,1933,69,7.8,93,54810,0
Le Dîner de Cons,1998,80,7.7,73,36685,4.07
Darbareye Elly,2009,119,8,87,43684,0.11
A Wednesday,2008,104,8.1,0,72720,0
The Experiment,2001,120,7.7,60,90015,0.14
The Secret of Kells,2009,75,7.6,81,30479,0.69
In a Better World,2010,118,7.6,65,38049,1.01
Only Yesterday,1991,118,7.6,90,25593,0.45
Battleship Potemkin,1925,66,8,0,51867,0.05
Anand,1971,122,8.5,0,28360,0
Confessions,2010,106,7.8,0,34928,0
Key Largo,1948,100,7.8,0,36350,0
In America,2002,105,7.7,76,40112,15.54
Love Me If You Dare,2003,93,7.6,45,66509,0.55
Mustang,2015,97,7.6,83,34754,0.85
The General,1926,67,8.1,0,78940,1.03
My Sassy Girl,2001,137,8,0,44726,0
The Discreet Charm of the Bourgeoisie,1972,102,7.9,93,37523,0.2
Evil,2003,113,7.8,61,35175,0.02
The Odd Couple,1968,105,7.7,86,30937,44.53
Kai Po Che,2013,120,7.7,40,30851,1.12
Down by Law,1986,107,7.8,75,46966,1.44
Badhaai Ho,2018,124,8,0,26591,0
Interstate 60: Episodes of the Road,2002,116,7.7,0,29418,0
The Girl Who Leapt Through Time,2006,98,7.7,0,58769,0
Miracle on 34th Street,1947,96,7.9,88,39132,2.65
Tangerines,2013,87,8.2,73,37551,0.14
Special 26,2013,144,8,0,49790,1.08
Baby,2015,159,8,0,51852,0
The Exterminating Angel,1962,95,8.1,0,28838,0
The Thin Man,1934,91,8,0,25845,0
Munna Bhai M.B.B.S.,2003,156,8.1,0,72137,0
Hera Pheri,2000,156,8.2,0,55153,0
Cries & Whispers,1972,91,8.1,0,29231,1.74
Haider,2014,160,8.1,0,49481,0.9
In a Lonely Place,1950,94,8,0,25438,0
Harvey,1950,104,7.9,0,52007,0
The Circus,1928,72,8.1,90,27708,0
L'Avventura,1960,144,7.9,0,25751,0
Udta Punjab,2016,148,7.8,0,26392,0
"4 Months, 3 Weeks and 2 Days",2007,113,7.9,97,55578,1.19
Dil Chahta Hai,2001,183,8.1,0,65594,0.3
Kahaani,2012,122,8.1,0,56566,1.04
Central Station,1998,110,8,80,35495,5.6
Celda 211,2009,113,7.6,0,62965,0
Nights of Cabiria,1957,110,8.1,0,41975,0.75
Tokyo Godfathers,2003,92,7.8,73,29976,0.13
Au Revoir les Enfants,1987,104,8,88,30525,4.54
Ace in the Hole,1951,111,8.1,72,30614,3.97
Jules and Jim,1962,105,7.8,97,36642,0
Barfi!,2012,151,8.1,0,74186,2.8
Departures,2008,130,8.1,68,47738,1.5
The Ladykillers,1955,91,7.7,91,25677,0
The Purple Rose of Cairo,1985,82,7.7,75,46212,10.63
The Past,2013,130,7.8,85,44181,1.33
Il Postino,1994,108,7.7,81,32885,21.85
The Magdalene Sisters,2002,114,7.7,83,25636,4.89
Nine Queens,2000,114,7.9,80,48895,1.22
The Visitor,2007,104,7.6,79,41218,9.42
Dev.D,2009,144,8,0,28239,0.01
Sweet Smell of Success,1957,96,8.1,100,27326,0
No Man's Land,2001,98,7.9,84,44011,1.06
Elite Squad 2: The Enemy Within,2010,115,8,71,78253,0.1
Lupin the 3rd: Castle of Cagliostro,1979,102,7.7,71,26003,0
Vampire Hunter D: Bloodlust,2000,103,7.7,62,28664,0.15
The Chorus,2004,97,7.9,56,56316,3.64
Dilwale Dulhania Le Jayenge,1995,181,8.1,0,62030,0
Joint Security Area,2000,110,7.8,58,25645,0
Love and Death,1975,85,7.7,89,35298,0
Fireworks,1997,103,7.8,0,27017,0.23
Udaan,2010,134,8.2,0,41650,0.01
Joyeux Noel,2005,116,7.7,70,27166,1.05
Sherlock Jr.,1924,45,8.2,0,39828,0.98
The Virgin Spring,1960,89,8.1,0,26063,1.53
Veer-Zaara,2004,192,7.8,67,47970,2.92
Black,2005,122,8.2,0,32923,0.73
OMG: Oh My God!,2012,125,8.1,0,50003,0.92
Zelig,1983,79,7.7,0,39239,11.8
The Lost Weekend,1945,101,7.9,0,32866,9.46
The Killer,1989,111,7.8,82,45047,0
The Triplets of Belleville,2003,80,7.8,91,49993,7
Chak De! India,2007,153,8.2,68,72475,1.11
Airlift,2016,130,8,0,52020,0
Sanjuro,1962,96,8.1,0,31536,0
Hiroshima Mon Amour,1959,90,7.9,0,27512,0.09
G.O.R.A.,2004,127,8,0,55247,0
Adam's Apples,2005,94,7.8,51,44552,0
White Heat,1949,114,8.1,0,29023,0
The Shop Around the Corner,1940,99,8.1,96,26877,0.2
English Vinglish,2012,134,7.8,0,32853,1.67
The Edge of Heaven,2007,122,7.8,85,30372,0.74
The Muppet Christmas Carol,1992,85,7.7,64,46440,27.28
Bhaag Milkha Bhaag,2013,186,8.2,0,59686,1.63
Jab We Met,2007,138,7.9,0,46534,0.41
Paan Singh Tomar,2012,135,8.2,0,32481,0.04
Andaz Apna Apna,1994,160,8.2,0,48458,0
La Grande Illusion,1937,113,8.1,0,33231,0.17
Knockin' on Heaven's Door,1997,87,8,0,27072,0
Tae Guk Gi: The Brotherhood of War,2004,140,8.1,64,37375,1.11
The Rules of the Game,1939,110,8,0,26165,0
Kind Hearts and Coronets,1949,106,8,0,33841,0
Drishyam,2013,160,8.3,0,29831,0
C.R.A.Z.Y.,2005,127,7.9,81,31192,0
Vicky Donor,2012,126,7.8,0,38937,0.17
A Night at the Opera,1935,96,7.9,0,30058,2.54
Lage Raho Munna Bhai,2006,144,8.1,0,42074,2.22
And Now for Something Completely Different,1971,88,7.6,0,28446,0
Vizontele,2001,110,8,0,32379,0
The Breath,2009,128,8,0,31269,0
